Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected 1
9/4/2004,10:00 a.m.,9/12/2004, 7:00 p.m.,"Hillsborough, Pasco, and Polk County, Florida",FRCC,Hurricane Frances,"1,100","268,000"
9/5/2004,1:00 a.m.,9/9/2004, 5:00 p.m.,"Orlando, Florida",FRCC,Hurricane Frances,200,"65,000"
9/5/2004,7:00 a.m.,9/12/2004, 12:00 a.m.,"Florida counties of Alachua, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,Hurricane Frances,"2,100","832,898"
9/6/2004,1:00 p.m.,9/9/2004, 12:00 p.m.,"Florida, Mississippi, Alabama, Georgia",SERC,Hurricane Frances,"3,000","99,000"
9/7/2004,10:00 a.m.,9/8/2004, 12:00 p.m.,Georgia,SERC,Hurricane Frances,"2,200","150,000"
9/15/2004,12:04 p.m.,09/23/04 12:00 p.m.,,Whole Island of Puerto Rico,PR,Hurricane Jeanne,"1,243","1,423,590"
9/15/2004,7:00 p.m.,9/17/2004, 7:00 p.m.,"Florida, Mississippi, Alabama, Georgia",SERC,Hurricane Ivan,916,"916,316"
9/16/2004,2:00 a.m.,9/16/2004, 10:02 a.m.,"Baldwin County, Alabama, Escambia County, Florida, Washington County, Alabama",SERC,Hurricane Ivan,263,"75,000"
9/16/2004,9:00 p.m.,9/20/2004, 4:00 p.m.,Western  North and South Carolina,SERC,Hurricane Ivan,500,"175,000"
9/17/2004,4:30 a.m.,9/18/2004, 12:00 p.m.,Western North Carolina,SERC,Hurricane Ivan,400,"112,000"
9/25/2004,5:00 p.m.,9/26/2004, 9:00 a.m.,"City of Fort Pierce, Florida",FRCC,Hurricane Jeanne,125,"26,000"
9/26/2004,2:00 a.m.,9/27/2004, 12:00 a.m.,"Hillsborough, Pasco, and Polk County, Florida",FRCC,Hurricane Jeanne,"1,250","285,300"
9/26/2004,3:00 a.m.,9/30/2004, 9:00 a.m.,"Orlando and St. Cloud, Florida",FRCC,Hurricane Jeanne,350,"110,000"
