Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected 1
5/28/2004,12:00 PM,5/31/2004, 12:00 AM,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",FRCC,,Public Appeals,0,0
5/28/2004,12:00 PM,5/31/2004, 12:00 AM,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",FRCC,,Public Appeals ,0,0
6/1/2004,5:00 PM,6/2/2004, 1:00 AM,"Collin, Dallas, Denton, Ellis, Parker, and Tarrant Counties, Texas ",ERCOT,,Severe Storms with Strong Winds,1900,500000
6/2/2004,1:46 AM,6/7/2004, 4:00 PM,"Shreveport, Louisiana",ECAR,,Severe  Thunderstorms with Strong Winds,350,59057
6/2/2004,2:35 AM,6/6/2004, 6:00 PM,"Tulsa, Oklahoma",ECAR,,Severe Thunderstorms with Strong Winds,280,56874
6/12/2004,5:37 PM,6/12/2004, 5:41 PM,"Lincoln, Nebraska",MAPP,,Tornado,428,120212
6/14/2004,7:41 AM,6/14/2004, 2:39 PM,"Phoenix, Arizona",WECC ,,Fault on Line,200,30000
6/23/2004,5:35 PM,6/23/2004, 7:10 PM,Southern Idaho,WECC,,Load Shedding,157,35000
6/23/2004,7:00 PM,6/23/2004, 8:00 PM,Georgia and Alabama,SERC,,Thunderstorms,50,50595
7/6/2004,6:00 AM,8/9/2004, 12:00 PM,"Metro Phoenix, Arizona",WECC,,Fire/Substation Multiple Public Appeals,0,0
7/6/2004,6:00 AM,8/9/2004, 12:00 PM,"Metro Phoenix, Arizona",WECC ,,Fire/Substation Multiple Public Appeals,0,0
7/7/2004,1:30 PM,7/7/2004, 11:54 PM,Central Virginia,SERC,,Severe Thunderstorms,120,88110
7/13/2004,1:34 PM,7/13/2004, 5:15 PM,"Leon  County, Florida",FRCC,,Units Tripped,283,42124
7/13/2004,4:30 PM,7/17/2004, 8:00 a. m. ,"West, West Central and Southern Indiana",ECAR,,Severe Thunderstorms,600,135000
7/20/2004,2:26 PM,7/21/2004, 2:00 AM,"Soledad Canyon near Acton, California",WECC,,Wildfire/Shed Interruptible Load,214,0
7/20/2004,3:44 PM,7/20/2004, 5:51 PM,"Regions of  San Juan, Caguas, Ponce, Bayamon, Carolina, Arecibo and Mayaguez",PR,,Wildfire,200,61624
7/21/2004,5:30 PM,7/22/2004, 7:00 PM,"Chicago, Illinois",MAIN,,Severe Thunderstorms,200,200000
7/24/2004,3:45 PM,7/25/2004, 9:00 PM,Southwest Louisiana in the Acadia Parish vicinity,SPP,,Public Appeal  ,0,0
7/25/2004,10:00 PM,7/25/2004, 11:00 PM,"Georgia, Alabama, Florida panhandle, Southern Mississippi",SERC,,Severe Storms,61,61004
8/2/2004,10:00 AM,8/2/2004, 8:00 PM,Southeast Texas,SPP,,Unplanned Generator Outage/High Loads Made Public Appeal,0,0
8/3/2004,9:00 PM,8/4/2004, 7:00 AM,Northern Illinois,MAIN,,Severe Storm,127,127000
8/4/2004,12:46 PM,8/4/2004, 1:50 PM,"Northwest Orange County, California",WECC,,Fault at Barre Substation,480,182000
8/9/2004,8:23 AM,8/9/2004, 11:10 AM,Whole Island of Puerto Rico,PR,,Two Large Units Tripped,451.7,259478
8/13/2004,8:00 AM,8/23/2004, 12:00 a.m,"Florida counties of Hardee, Highlands, Lake, Orange, Osceola, Polk, Seminole, Volusia",FRCC,,Hurricane Charley,1300,502000
8/13/2004,3:00 PM,8/13/2004, 11:00 PM,West Coast of Florida from Naples to Charlotte and in an area centered around Daytona Beach,FRCC,,Hurricane Charley,1400,1200000
8/13/2004,1:30 PM,8/13/2004, 12 AM,"Florida counties of Collier, Hendry, Glades, Highlands, Charlotte, Desoto, Lee, Hardee, and Polk",FRCC ,,Hurricane Charley,700,200000
8/13/2004,4:43 PM,8/13/2004, 8:24 PM,"Eastern Hillsborough, Polk County, Florida",FRCC,,Hurricane Charley,250,78000
8/13/2004,10:04 PM,8/14/2004, 4:23 PM,"New Smyrna Beach, Florida",FRCC,,Hurricane Charley,65,23000
8/14/2004,1:00 PM,8/14/2004, 11:00 PM,Central and Eastern North Carolina and Northern and Eastern South Carolina,SERC,,Hurricane Charley,500,94000
8/20/2004,3:31 PM,8/20/2004, 9:45 PM,"Boston, Massachusetts",NPCC,,Major Transmission Line Tripped due to Lightning Strike,22700,380000
8/29/2004,9:52 AM,8/29/2004, 6:00 PM,Southeastern South Carolina,SERC,,Tropical Storm Gaston,450,125000
8/30/2004,6:58 PM,8/31/2004, 3:35 PM,"Central Virginia, South to North Carolina and East to the Virginia Coast",SERC,,Tropical Storm Gaston,150,99816
9/3/2004,9:00 PM,9/5/2004, 2:00 PM,"City of Fort Pierce, Florida",FRCC,,Hurricane Frances,125,26000
9/4/2004,8:00 AM,9/6/2004, 8:00 AM,"West Palm Beach to Daytona Beach, Florida",FRCC,,Hurricane Frances,6000,2775093
9/4/2004,10:00 AM,9/12/2004, 7:00 PM,"Hillsborough, Pasco, and Polk County, Florida",FRCC,,Hurricane Frances,1100,268000
9/5/2004,1:00 AM,9/9/2004, 5:00 PM,"Orlando, Florida",FRCC,,Hurricane Frances,200,65000
9/5/2004,7:00 AM,9/12/2004, 12:00 AM,"Florida counties of Alachua, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,,Hurricane Frances,2100,832898
9/6/2004,1:00 PM,9/9/2004, 12:00 PM,"Florida, Mississippi, Alabama, Georgia",SERC,,Hurricane Frances,3000,99000
9/7/2004,10:00 AM,9/8/2004, 12:00 PM,Georgia,SERC,,Hurricane Frances,2200,150000
9/15/2004,12:04 PM,09/23/04 12:00 p.m.,,Whole Island of Puerto Rico,PR,,Hurricane Jeanne,1243,1423590
9/15/2004,7:00 PM,9/17/2004, 7:00 PM,"Florida, Mississippi, Alabama, Georgia",SERC,,Hurricane Ivan,916,916316
9/16/2004,2:00 AM,9/16/2004, 10:02 AM,"Baldwin County, Alabama, Escambia County, Florida, Washington County, Alabama",SERC,,Hurricane Ivan,263,75000
9/16/2004,9:00 PM,9/20/2004, 4:00 PM,Western  North and South Carolina,SERC,,Hurricane Ivan,500,175000
9/17/2004,4:30 AM,9/18/2004, 12:00 PM,Western North Carolina,SERC,,Hurricane Ivan,400,112000
9/25/2004,5:00 PM,9/26/2004, 9:00 AM,"City of Fort Pierce, Florida",FRCC,,Hurricane Jeanne,125,26000
9/26/2004,2:00 AM,9/27/2004, 12:00 AM,"Hillsborough, Pasco, and Polk County, Florida",FRCC,,Hurricane Jeanne,1250,285300
9/26/2004,3:00 AM,9/30/2004, 9:00 AM,"Orlando and St. Cloud, Florida",FRCC,,Hurricane Jeanne,350,110000
