Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
6/20/2015,1:52 PM,6/20/2015,3:30 PM,"Solano County, California",WECC,Suspected Physical Attack,Vandalism,0,0
6/23/2015,6:00 PM,6/30/2015,6:00 PM,"Gloucester County, Burlington County, Atlantic County, Cape May County, New Jersey",RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,263000
6/23/2015,5:06 PM,6/26/2015,4:00 PM,"New Castle County, Delaware",RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,65000
6/23/2015,5:30 PM,6/23/2015,7:00 PM,"Delaware County, PA; Chester County, PA",RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,200000
6/23/2015,6:30 PM,6/24/2015,5:00 AM,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont",NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,62442
6/23/2015,6:18 PM,6/23/2015,8:30 PM,New Jersey,RFC,"Load shedding of 100 Megawatts or more implemented under emergency operational policy  Loss of electric service to more than 50,000 customers for 1 hour or more",System Operations,198,156338
6/23/2015,6:26 PM,Unknown,Unknown,New Jersey,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,90,73000
6/26/2015,2:00 AM,Unknown,Unknown,Kansas,SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,110000
6/27/2015,5:00 PM,6/30/2015,5:18 PM,"Wayne County, Michigan",RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,68000
6/29/2015,7:21 PM,6/29/2015,7:42 PM,Washington,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational,Severe Weather,0,0
6/30/2015,2:00 PM,6/30/2015,9:00 PM,California,WECC,Public appeal to reduce the use of electricity,Severe Weather,0,0
6/30/2015,10:50 AM,7/1/2015,9:00 PM,California,WECC,Public appeal to reduce the use of electricity,Severe Weather,0,0
7/3/2015,8:30 AM,7/3/2015,2:30 PM,"Butte County, California",WECC,Suspected Physical Attack,Suspicious Activity ,0,0
7/3/2015,5:17 PM,7/3/2015,11:30 PM,Texas,TRE,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,System Operations,350,30000
7/13/2015,2:14 PM,7/16/2015,6:00 AM,"Ohio, Kentucky",RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,480,68339
7/13/2015,7:40 PM,7/15/2015,12:15 PM,Virginia,RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,52739
7/14/2015,3:29 PM,7/15/2015,11:55 AM,Arkansas,SPP,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,Severe Weather,0,0
7/14/2015,8:00 PM,7/15/2015,9:23 AM,Alabama,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,366,111644
7/15/2015,2:00 AM,7/15/2015,2:55 AM,California,WECC,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,System Operations,360,0
7/16/2015,4:45 PM,7/16/2015,5:48 PM,Texas,SPP,Load shedding of 100 Megawatts or more implemented under emergency operational policy,System Operations,117,17311
7/18/2015,2:00 AM,7/19/2015,7:00 AM,"Henepin and Ramsey County, Minnesota",MRO,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,250,250000
7/18/2015,6:26 PM,7/18/2015,9:03 PM,California,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational,System Operations,30,70
7/18/2015,7:59 PM,7/18/2015,10:45 PM,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,160,78164
7/21/2015,12:47 PM,7/21/2015,1:12 PM,Washington,WECC,Load shedding of 100 Megawatts or more implemented under emergency operational policy,System Operations,200,0
7/27/2015,3:52 AM,7/27/2015,4:36 AM,California,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational,System Operations,0,484
7/28/2015,12:05 PM,7/28/2015,12:26 PM,Puerto Rico,N/A,System-wide voltage reductions of 3 percent or more,System Operations,150,0
7/29/2015,4:45 PM,7/29/2015,9:00 PM,New York,NPCC,Fuel supply emergencies that could impact electric power system adequacy or reliability,System Operations,500,0
7/30/2015,9:50 AM,7/30/2015,7:00 PM,Texas,TRE,Public appeal to reduce the use of electricity,System Operations,0,0
7/30/2015,1:00 PM,Unknown,Unknown,Tennessee,SERC,Suspected Physical Attack,Vandalism,0,0
7/31/2015,10:55 AM,Unknown,Unknown,Washington,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational,System Operations,9,0
8/2/2015,5:45 PM,8/4/2015,3:00 AM,Michigan: Emmet County; Grand Traverse County; Leelanau County; Kalkaska County; Benzie County; Manistee County; Wexford County; Missaukee County; Mecosta County; ,RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,162000
8/3/2015,12:30 AM,8/3/2015,2:00 AM,Illinois,RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,115000
8/3/2015,1:00 AM,8/5/2015,12:00 AM,Michigan,RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,72520
8/3/2015,8:27 AM,8/4/2015,1:18 AM,Arizona: New Mexico,WECC,Suspected Physical Attack,Sabotage,0,0
8/4/2015,7:17 AM,8/5/2015,12:52 PM,Massachusetts: Rhode Island:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,132000
8/11/2015,7:30 PM,8/13/2015,4:05 AM,Texas: Houston;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,100000
8/13/2015,3:15 PM,8/13/2015,7:00 PM,Texas: Williamson County;,TRE,Public appeal to reduce the use of electricity,Other,0,0
8/27/2015,9:51 PM,8/28/2015,6:00 PM,Puerto Rico,WECC,"Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident / Loss of electric service to more than 50,000 customers for 1 hour or more",System Operations,360,0
8/29/2015,10:00 AM,Unknown,Unknown,Washington,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,500000
8/29/2015,11:00 AM,9/4/2015,3:00 PM,"King County, Skagit County, Whatcom County, Kitsap County, Pierce County, Thurston County, Island County, Washington",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,250,250000
8/29/2015,1:00 PM,8/31/2015,7:00 AM,Washington: King County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,1200,64000
9/3/2015,2:33 AM,9/3/2015,6:25 AM,Michigan,RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,50114
